,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
B077Z1R28P,16.668080000000003,13.679642857142856,13.301111111111112,15.775714285714283,15.775714285714283,12.76,8.697777777777778,9.475,9.156666666666666,9.245,14.328275862068963,9.76037037037037,9.98,9.98,9.97019867549669,10.194137931034485,8.192,9.97,8.5,9.935,9.657272727272728,8.262727272727274,10.056727272727272,9.905116279069768,9.755652173913044,9.441,9.49,9.54,9.49,9.49,9.4175,9.915,9.915,13.609523809523813,9.49,9.48,9.48,9.336,9.336,9.336,9.665,7.782222222222223,8.23904761904762,8.545714285714286,8.604,8.86,9.330625,9.72,9.540909090909093,9.263333333333334,9.708888888888888,8.205172413793104,9.5945,9.609354838709676,9.599565217391303,9.625882352941176,8.2696875,8.318461538461538,9.504,9.7,9.1132
B078WM314M,8.644692307692308,10.230763358778626,10.74263157894737,10.7775,10.7775,13.49,14.612,14.99,12.675,10.155,10.442857142857145,10.442857142857145,9.834083333333332,9.456666666666665,9.585,9.865555555555556,9.891470588235293,10.01057142857143,10.33,12.703999999999999,12.186666666666667,12.050138888888888,9.44558823529412,10.679887640449438,11.436666666666666,11.219333333333333,10.179674796747967,11.8925,12.793636363636363,12.141,11.67181818181818,13.344999999999999,11.474166666666667,12.573333333333332,13.677000000000001,11.92,10.414285714285715,10.864285714285714,10.597,11.315,10.967272727272727,10.187999999999999,10.945,9.99,9.115,9.34,10.298,10.32734375,10.039193548387098,10.386097560975609,14.676808510638297,14.718125,12.321428571428571,9.695333333333334,10.904528301886794,9.75,9.7225,9.711538461538462,9.629375,9.738333333333333,9.386923076923077
B079W8128Y,13.795000000000002,13.795000000000002,19.1,22.2775,24.345,26.49,26.53,21.55,19.035,18.65,20.87444444444445,20.87444444444445,19.495,19.495,19.495,19.495,23.4075,24.108461538461537,20.33230769230769,21.415,20.585,20.585,20.585,20.585,20.585,20.585,20.585,20.585,20.585,20.585,20.585,20.585,20.585,18.555,17.494999999999997,17.494999999999997,19.95,18.656666666666663,19.24,18.256666666666664,18.256666666666664,18.256666666666664,18.256666666666664,18.256666666666664,18.256666666666664,18.256666666666664,18.256666666666664,18.256666666666664,18.256666666666664,17.99,17.99,17.99,17.99,16.99,16.99,16.99,16.99,16.99,15.495,17.49,12.995
B07BJ5L7N3,8.455454545454545,7.652857142857143,11.932,11.549333333333331,7.214374999999999,4.2,4.99,4.985,4.985,5.255454545454546,6.8505714285714285,3.0700000000000003,3.0700000000000003,6.49,6.49,6.49,4.74,9.418235294117649,6.600727272727273,5.024,5.154716981132076,4.500666666666667,8.105212765957447,7.049775280898877,6.2,5.975,4.8125,4.99,4.99,5.823333333333333,4.99,4.99,4.99,4.99,4.9025,4.9025,4.9025,6.394516129032258,6.743055555555555,5.92,5.92,10.8346875,4.973333333333334,4.523333333333333,4.95,4.985,13.542222222222222,4.985,4.495,7.663846153846153,6.050833333333333,6.050833333333333,8.418666666666667,4.49,4.74125,4.548333333333334,4.548333333333334,4.548333333333334,9.955714285714285,4.98,4.827500000000001
B07BYWS5XW,,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.88,11.99,12.454,12.16846153846154,12.382,11.695,12.468461538461538,12.808000000000002,12.49,12.49,13.510000000000002,12.49,12.99,13.965000000000002,14.2775,13.740909090909092,13.630384615384616,14.038800000000002,14.866666666666667,13.964090909090908,13.784,13.507391304347829,14.100909090909092,14.055,13.9092,13.978823529411766,13.944090909090908,14.24,13.836521739130434,13.992173913043478,13.743461538461538,13.5655,12.885384615384616,12.461785714285714,12.610434782608696,12.498260869565216,12.581153846153846,13.2325,13.37689655172414,13.498846153846156,13.649666666666668,13.625833333333333,13.455862068965518,13.290357142857143,13.900476190476192,13.802142857142856,13.844782608695652,13.760370370370367,13.843333333333334,13.843333333333334
B07D4RN9NH,12.372083333333334,15.14076923076923,12.99,26.80025,12.72,29.862142857142857,12.734615384615385,28.900769230769228,28.900769230769228,12.87409090909091,12.649333333333336,12.692,12.692,14.608333333333333,13.637058823529411,20.30034482758621,30.44545454545455,24.617619047619048,25.515054945054946,24.435,24.435,23.932,12.586,11.778571428571428,18.69,18.65,18.68,18.68,22.026666666666667,23.19333333333333,21.06,21.06,15.356666666666666,14.850666666666664,15.0068,14.673333333333334,16.25916666666667,13.8175,13.913703703703703,13.52076923076923,13.398181818181818,14.315,16.22533333333333,14.291153846153843,13.15388888888889,13.6275,15.955499999999995,13.863333333333332,13.911304347826086,14.25076923076923,18.12590909090909,14.8,14.8,15.272857142857143,15.243333333333334,15.03,15.36111111111111,12.910555555555554,13.233928571428573,14.065172413793103,13.97875
B07G7J3HH5,41.38,41.38,30.92,30.92,24.46,45.97333333333333,26.95,46.97289156626506,44.48952380952381,26.776666666666667,26.945,35.254000000000005,46.14259259259259,44.79129032258064,42.39785714285715,47.9725,28.45,46.43,38.59666666666666,29.95,27.63,24.99,24.99,24.99,24.99,26.24157894736842,26.24157894736842,34.64151515151515,44.1555737704918,26.99,26.99,24.99,24.99,24.99,24.96884615384615,24.660833333333333,24.604,24.51,24.97714285714286,24.975,24.975,24.26,24.26,24.26,24.26,49.271428571428565,43.573,24.915,24.95,24.95,36.82071428571429,32.12321428571429,31.735,43.582,24.95,24.95,24.42714285714285,24.42714285714285,24.42714285714285,24.945000000000004,24.945000000000004
B07H6YDCM1,8.43,8.43,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,7.81,11.99,14.99,14.99,14.99,12.635,12.635,14.628181818181815,10.975454545454546,11.412647058823527,11.432222222222222,11.257142857142856,11.748620689655173,11.461343283582089,11.2724,10.219263157894735,9.122816091954022,8.423684210526316,8.853529411764706,9.57297520661157,9.635350877192984,8.988311688311688,8.79013986013986
B07J11X71X,,,,22.3675,19.99,19.99,22.49,22.49,22.49,22.49,19.975,19.975,19.975,19.9745,19.97384615384615,19.97384615384615,19.97384615384615,19.99,19.975,19.975,19.975,18.89210526315789,17.47,17.80923076923077,17.97,18.95083333333333,17.793684210526315,18.945,12.99,19.636666666666667,19.636666666666667,19.978,19.975,19.975,19.975,19.975,19.975,19.378,17.975,19.99,19.907272727272726,19.646666666666665,19.646666666666665,19.646666666666665,19.646666666666665,17.146470588235296,15.77516129032258,14.962142857142856,20.39,17.854444444444443,19.631428571428568,19.711111111111112,20.815,18.49,20.37333333333333,19.99,15.733333333333334,14.079999999999998,15.693333333333332,18.003333333333334,19.29
B07K3MDL49,15.315,9.99,9.99,9.99,8.84,9.465,8.94,6.411666666666666,4.125,4.125,10.963333333333331,10.96,10.96,18.95,21.0092,21.0092,21.0092,11.99,11.99,11.99,10.97,20.297142857142852,19.55941176470588,11.45,11.233529411764708,10.780625,11.569,11.706,11.4,10.18375,10.012,10.394,10.394,9.99,10.586,10.586,10.586,11.804285714285712,11.94,11.94,11.94,11.985,11.946666666666667,11.495,11.495,9.986666666666666,10.99,10.99,10.99,10.99,10.99,9.865,9.865,9.99,14.776363636363635,14.155185185185186,13.73375,8.481428571428571,9.876315789473685,9.89,9.96
