"Title","Categories: Sub","ASIN"
"Blue Diamond Almonds, Oven Roasted Dark Chocolate Flavored Snack Nuts Perfect for Snacking, On-the-go, Lunches and More, 40 oz.","Nuts, Test01, Seasonal Snacks, Candy & Chocolate, Snacks, Fresh, Canned, Packaged & Baking, All Candy Coupons","B09LSNJTWF"
"Alani Nu STRAWBERRY SUNRISE Sugar Free, Low Calorie Energy Drinks, 200mg Caffeine, Biotin B Vitamins, Zero Sugar, 10 Calories, 12 Fl Oz Cans, 12 Pack","Energy Drinks, Beverages, Energy Drinks, Energy drinks","B0DTLYVG3Y"
"Bundle of Peet's Coffee, Dark Roast Decaffeinated K-Cup Pods for Keurig Brewers - Decaf House Blend, 60 Count + Dark Roast K-Cup Pods for Keurig Brewers - Major Dickason's Blend 75 Count","Single-Serve Capsules & Pods, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Coffee, Save on Coffee & Tea, 1, Beverages, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Cups/Pods","B0CZMFXMJQ"
"Welch's Fruit Snacks, Mixed Fruit, Perfect for Serving at Parties, Bulk Bag, 28 oz (Pack of 1)","Fruit Snacks, Snacks & produce IA, Game day snacks & dips, Fruit Snacks, Snacks, Seasonal Snacks, Snacks Under 5$, 15% off coupon terms and conditions, Snacks, Restaurant and Bulk Food Supply, Snacks, Fruit Snacks Shov, Game Day Snacks, Canned, Packaged & Baking, Fruit Snacks, Snacks under $5, Fruit  Snacks, New to Fresh Snacks, Other cheese pairings, Fruit Snacks & Dried Fruit, Shop & Save Terms & Conditions","B0D8QY2Y2D"
"Sparkling Ice Watermelon Lemonade Sparkling Water with Caffeine, Zero Sugar, with Antioxidants and Vitamins,16 fl oz Cans (Pack Of 12)","Carbonated Water, Sparkling water, Sparkling Water, Soda and cocktail mixers, Beverages, Sparkling water, Sparkling water, Drinks, Sparkling Water, Baverages, Beverages, Beverages, Water, Sparkling Water, Beverages, CSD and Water, BBQ Beverages, All Sparkling Water, Springtime Beverages, Beverages for Summer, Sparkling  Water","B09S26542Z"
"Atkins Protein Rich Shake, Chocolate Caramel Cream, 15g Protein, Low Glycemic, 2g Net Carbs, 1g Sugar, Low Carb Lifestyle, Gluten Free, 12 count","Protein Drinks, Beverages, Protein drinks","B0CM43QLM7"
"Green Mountain Coffee Roasters Colombia Select Coffee, Keurig Single-Serve K-Cup pods, Medium Roast, 32 Count","Single-Serve Capsules & Pods, Packaged Coffee, Cozy up with coffee, Coffee & Tea, Breakfast Deals, Coffee, Save on Coffee & Tea, 1, Beverages, Coffee & creamer, Main Coffee Base Shoveler, Coffee & Tea, Cups/Pods","B09WJMWCVQ"
"DaVinci Gourmet Boysenberry Syrup, 25.4 Fluid Ounces (Pack of 1)","Syrups, Beverages","B0C6C2C1Z7"
"Spindrift Grapeade Can 12 Ounce (Pack of 24)","Flavored Water, Beverages, Beverages, Beverages, Water, Beverages, CSD and Water, BBQ Beverages, Springtime Beverages, Beverages for Summer","B0DQZMS5KH"
"Betterbody Foods Organic Chia Seeds, 1.48 oz packets (Pack of 24)","Chia Seeds, Gluten-Free Groceries, Add toppings, The rights fats, Nuts, Seeds, Dried Fruits & Vegetables, d963aedb-8e7e-493c-80e7-b70e3c253824_9301, Keto-friendly foods, Canned, Packaged & Baking, Gluten-free ingredients","B0CQPMSV85"
"Poppi Sparkling Prebiotic Soda Beverage with Apple Cider Vinegar, Seltzer Water and Fruit Juice, Wild Berry Flavor, 12 oz, Pack of 12, Packaging May Vary","Soft Drinks, Soda and cocktail mixers, Beverages, Beverages, Bebidas, Gluten-Free Groceries, Drinks, Quench your thirst, d963aedb-8e7e-493c-80e7-b70e3c253824_9301, Beverages, Soda, Beverages, CSD and Water, BBQ Beverages, Movie Night Coupons, Soft Drinks, Soft Drinks, Springtime Beverages, Beverages for Summer","B0D54QFW77"
"RITZ Original Crackers, 20 Snack Packs (6 Crackers Per Pack)","Sandwich, Snacks & produce IA, Crackers, Game day snacks & dips, Snacks, Snack favorites, Snacks Under 5$, 15% off coupon terms and conditions, Snacks, Snacks, Snacks, Game Day Snacks, Canned, Packaged & Baking, Snacks under $5, Chips and Snacks, New to Fresh Snacks, Shop & Save Terms & Conditions, Crackers and bread","B0BQ5KRNJN"
"IQBAR Brain and Body Plant Protein Bars - Chocolate Mint Chip - 36-Count Low Carb - Gluten Free, High Fiber, Vegan Snacks - Low Sugar Meal Replacement","High Protein, Snacks & produce IA, Game day snacks & dips, Snacks, Snacks Under 5$, 15% off coupon terms and conditions, Snacks, Lunchbox snacks, Gluten-Free Groceries, Snacks, Snacks, Plant-Based Lifestyles, Game Day Snacks, Canned, Packaged & Baking, Snacks under $5, New to Fresh Snacks, Granola Bars, Shop & Save Terms & Conditions","B0DH54X73C"
"Torani Coffee Syrup, Chocolate Milano Flavored Syrup for Drinks, Pump Included, 25.4 Fl Oz","Flavoring Syrup, Baking Extracts & Flavoring, Canned, Packaged & Baking","B0DH58YW1P"
"DaVinci Gourmet Honey Syrup, 25.4 Fluid Ounces (Pack of 1)","Syrups, Beverages, Syrups & Flavoring","B09DYZSHJR"
"Wonderful Pistachios No Shells, Chili Roasted Nuts, 11 Ounce Bag (Pack of 3), Protein Snacks, Gluten Free, Healthy Snacks for Adults","Pistachios, Snacks & produce IA, Paleo-friendly foods, Game day snacks & dips, Snacks, Salty snacks, Snacks Under 5$, 15% off coupon terms and conditions, Snacks, Gluten-Free Groceries, Add toppings, Nuts, Seeds, Dried Fruits & Vegetables, d963aedb-8e7e-493c-80e7-b70e3c253824_9301, Snacks, Snacks, Game Day Snacks, Canned, Packaged & Baking, Gluten-free ingredients, Snacks under $5, Chips and Snacks, New to Fresh Snacks, Other cheese pairings, Nuts & Trail Mix, Shop & Save Terms & Conditions","B0CNTYBSDS"
"DaVinci Gourmet Prickly Pear Syrup, 25.4 Fluid Ounces (Pack of 1)","Syrups, Beverages","B0C6CDY7MZ"
